@T,climate
name,tmax
descr,max temperature

missing_val,-9999
date_start,01.01.2008
date_end,31.12.2014
date_format,dd.MM.yyyy

tres,d
unit,C

@H,date,tmax[1]
name,-,Greeley LIRF
ID,-,1
elevation,-,1427
x,-,530809
,30.09.2010,27.0
,01.10.2010,23.5
,02.10.2010,24.9
,03.10.2010,24.6
,04.10.2010,17.3
,05.10.2010,18.1
,06.10.2010,18.0
,07.10.2010,21.5
,08.10.2010,18.2
,09.10.2010,14.3
,10.10.2010,12.6
,11.10.2010,14.3
,12.10.2010,13.2
,13.10.2010,16.9
,14.10.2010,17.5
,15.10.2010,21.3
,16.10.2010,19.6
,17.10.2010,17.2
,18.10.2010,18.4
,19.10.2010,20.6
,20.10.2010,17.1
,21.10.2010,16.7
,22.10.2010,15.5
,23.10.2010,20.0
,24.10.2010,17.5
,25.10.2010,14.6
,26.10.2010,9.7
,27.10.2010,12.1
,28.10.2010,11.7
,29.10.2010,14.2
,30.10.2010,17.0
,31.10.2010,18.7
,01.11.2010,16.0
,02.11.2010,14.8
,03.11.2010,15.4
,04.11.2010,13.3
,05.11.2010,15.2
,06.11.2010,16.3
,07.11.2010,16.9
,08.11.2010,15.8
,09.11.2010,12.7
,10.11.2010,10.4
,11.11.2010,9.6
,12.11.2010,11.3
,13.11.2010,12.6
,14.11.2010,8.0
,15.11.2010,9.8
,16.11.2010,11.1
,17.11.2010,12.0
,18.11.2010,17.3
,19.11.2010,10.4
,20.11.2010,7.8
,21.11.2010,8.9
,22.11.2010,9.7
,23.11.2010,9.8
,24.11.2010,8.4
,25.11.2010,7.7
,26.11.2010,9.0
,27.11.2010,10.7
,28.11.2010,10.3
,29.11.2010,10.2
,30.11.2010,10.8
,01.12.2010,10.9
,02.12.2010,9.8
,03.12.2010,4.5
,04.12.2010,-0.9
,05.12.2008,-1.0
,06.12.2010,0.3
,07.12.2010,1.1
,08.12.2010,1.4
,09.12.2010,-1.6
,10.12.2010,5.1
,11.12.2010,3.9
,12.12.2010,6.4
,13.12.2010,9.6
,14.12.2010,4.3
,15.12.2010,3.8
,16.12.2010,4.6
,17.12.2010,7.4
,18.12.2010,6.4
,19.12.2010,3.1
,20.12.2010,4.6
,21.12.2010,2.9
,22.12.2010,2.6
,23.12.2010,1.7
,24.12.2010,2.2
,25.12.2010,1.2
,26.12.2010,4.5
,27.12.2010,4.4
,28.12.2010,6.7
,29.12.2010,6.7
,30.12.2010,6.5
,31.12.2010,2.4
,01.01.2011,-0.2
,02.01.2011,3.0
,03.01.2011,6.8
,04.01.2011,4.0
,05.01.2011,4.6
,06.01.2011,3.0
