date,AirT,Iprec,Swglob,RH
31/12/2002,0.73,0,97.293,44.85
01/01/2003,1.53,0,94.66216667,61.07
02/01/2003,1.86,0,129.7000833,52.71
03/01/2003,8.93,0,122.6685833,42.6
04/01/2003,3.99,0,72.39575,60.78
05/01/2003,4.99,0,45.03508333,62.9
06/01/2003,2.68,0,133.5506667,77.23
07/01/2003,6.77,0,134.9378333,38.64
08/01/2003,8.54,0,139.6255,28.9
09/01/2003,-2.53,0,117.2395,47.69
10/01/2003,-8.71,0,38.8885,65.6
11/01/2003,-5.22,0,66.67966667,63.23
12/01/2003,-0.23,0,143.14125,62.33
13/01/2003,5.14,0,123.33825,49.56
14/01/2003,1.44,0,122.90775,72.43
15/01/2003,-1.33,0,86.72183333,70.43
16/01/2003,-1.26,0.254,137.7121667,51.36
17/01/2003,-2.09,0.254,122.4055,72.34
18/01/2003,-2.02,0,132.0439167,58.35
19/01/2003,6.85,0,156.2236667,30.72
20/01/2003,7.78,0,125.132,26.13
21/01/2003,-2.54,0,108.6773333,83.77
22/01/2003,-11.06,0,34.96616667,99
23/01/2003,-5.28,0,122.549,87.03
24/01/2003,1.24,0,150.89025,79.56
25/01/2003,4.29,0,143.6913333,51.86
26/01/2003,2.16,0,124.77325,58.13
27/01/2003,10.77,0,103.2721667,38.96
28/01/2003,3.01,0,59.88733333,74.35
29/01/2003,1.88,0,155.2191667,76.06
30/01/2003,6.52,0,63.59441667,55.69
31/01/2003,6.9,0,99.39766667,61.48
01/02/2003,14.26,0,117.2155833,24.95
02/02/2003,2.78,2.8702,76.03108333,71.03
03/02/2003,-3.57,0,179.088,74.66
04/02/2003,-4.08,0,121.5205833,74.43
05/02/2003,-6.23,0,60.00691667,90.73
06/02/2003,-10.89,0.254,102.24375,81.77
07/02/2003,-9.34,0,184.9236667,69.02
08/02/2003,-5.44,0.508,143.28475,61.85
09/02/2003,-5.81,1.0414,129.0304167,78.52
10/02/2003,-0.46,0,175.931,52.39
11/02/2003,-1.67,0,167.321,73.34
12/02/2003,0.7,0,150.02925,60.39
13/02/2003,1.9,0,47.13975,62.33
14/02/2003,4.88,0,66.08175,67.92
15/02/2003,-1.35,0,67.61241667,90.16
16/02/2003,0.04,0,116.16325,82.31
17/02/2003,4.89,0,190.1135833,31.97
18/02/2003,1.69,0.762,141.3953333,52.49
19/02/2003,-0.64,0,209.7730833,69.86
20/02/2003,1.28,0,204.631,42.99
21/02/2003,3.21,0,195.8535833,49.93
22/02/2003,-0.52,0,108.6055833,75.77
23/02/2003,-14.28,0.508,109.3709167,89.35
24/02/2003,-17.85,0,198.6279167,83.99
25/02/2003,-9.34,0,143.3565,85.44
26/02/2003,-4.3,0.254,165.81425,89.55
27/02/2003,-3.01,0.5334,62.75733333,96.34
28/02/2003,-3.29,0,88.85041667,95.13
01/03/2003,-2.92,0,186.19125,80.46
02/03/2003,-1.7,0,226.443,70.62
03/03/2003,2.4,0,222.5924167,49.64
04/03/2003,-9.17,0,80.14475,90.79
05/03/2003,-4.93,0,213.31275,71.79
06/03/2003,5.7,0,230.1261667,43.54
07/03/2003,5.19,0,213.7671667,56.2
08/03/2003,5.75,0,243.7108333,49.65
09/03/2003,4.34,0,193.7010833,54.16
10/03/2003,8.5,0,214.31725,40.17
11/03/2003,10.02,0,234.6464167,36.46
12/03/2003,11.59,0,243.30425,34.81
13/03/2003,11.15,0,250.5749167,31.79
14/03/2003,13.79,0,227.51925,25.55
15/03/2003,13.48,0,244.7870833,22.7
16/03/2003,10.03,0,161.3418333,37.03
17/03/2003,5.65,4.1148,66.584,85.59
18/03/2003,-1.12,13.1064,91.07466667,99
19/03/2003,0.19,20.1676,114.3455833,93.34
20/03/2003,2.34,0,202.4306667,83.15
21/03/2003,4.4,0,260.4285833,82.7
22/03/2003,6.09,0,243.2564167,59.06
23/03/2003,10.23,0,219.842,52.86
24/03/2003,1.96,3.6322,101.4545,93.86
25/03/2003,4.46,0,269.8039167,63
26/03/2003,8.83,3.1242,248.3028333,58.52
27/03/2003,-0.29,0,141.3235833,66.17
28/03/2003,-1.01,0,252.63175,56.04
29/03/2003,-1.49,0,220.20075,59.94
30/03/2003,6.3,0,244.3805,53.68
31/03/2003,11.99,0,261.6483333,38.07
01/04/2003,15.71,0,197.7669167,24.75
02/04/2003,14.59,0,214.74775,24.32
03/04/2003,7.02,0,218.4309167,49.33
04/04/2003,3.08,0,252.1534167,36.96
05/04/2003,1.54,0.7874,135.8945,84.58
06/04/2003,-1.4,0.254,275.4243333,97.48
07/04/2003,0.21,0.508,168.0624167,86.69
08/04/2003,3.93,0,293.7684167,66.03
09/04/2003,11.62,0,317.3741667,36.21
10/04/2003,15.41,0,312.8539167,25.21
11/04/2003,13.91,0,305.6071667,43.48
12/04/2003,15.73,0,284.20175,29.63
13/04/2003,16.87,0,318.49825,22.04
14/04/2003,16.64,0,226.0125,22.75
15/04/2003,12.72,7.8232,177.7486667,49.95
16/04/2003,10.09,0,324.6926667,46.77
17/04/2003,9.4,0,263.4420833,68.77
18/04/2003,9.98,1.1684,196.8341667,66.97
19/04/2003,6.79,0,238.28175,68.7
20/04/2003,7.68,0,248.7811667,56.9
21/04/2003,9.62,0,295.2751667,62.49
22/04/2003,10.58,1.6256,221.7075,74.55
23/04/2003,5.56,50.5968,27.6955,98.7
24/04/2003,5.16,2.8702,65.36425,97.68
25/04/2003,7.4,0,104.4201667,94.41
26/04/2003,11.62,0,255.5735,69.32
27/04/2003,10.34,0,323.4729167,55.73
28/04/2003,11.14,0,152.6361667,84.26
29/04/2003,11.35,1.1176,210.8254167,85.16
30/04/2003,8.11,0,179.2315,82.97
01/05/2003,6.83,0,171.7695,79.2
02/05/2003,9.9,0,299.3888333,70.64
03/05/2003,14.04,0,339.1144167,53.97
04/05/2003,12.64,0,229.8630833,42.88
05/05/2003,10.76,0,289.6069167,39.73
06/05/2003,8.93,0,258.587,58.9
07/05/2003,9.83,0,249.403,66.65
08/05/2003,8.56,0,122.8838333,86.14
09/05/2003,4.08,21.971,90.07016667,93.43
10/05/2003,2.6,23.8252,119.8225,95.11
11/05/2003,7.27,0,293.4096667,83.15
12/05/2003,12.7,0,333.8766667,64.98
13/05/2003,16.04,0,361.3569167,46.22
14/05/2003,15.68,0,348.418,46.86
15/05/2003,13.99,0,237.1576667,70.26
16/05/2003,16.77,0,313.2126667,68.77
17/05/2003,19.03,0,287.35875,56.24
18/05/2003,16.19,0,210.371,59.78
19/05/2003,6.45,0,89.85491667,66.69
20/05/2003,9.03,0,197.3364167,60.53
21/05/2003,14.18,0,333.2309167,52.75
22/05/2003,18.04,0,301.9479167,51.53
23/05/2003,17.23,0,343.61075,75.45
24/05/2003,16.74,0,171.5303333,81.7
25/05/2003,15.88,0,182.2928333,85.67
26/05/2003,15.9,0.254,186.3586667,83.78
27/05/2003,20.06,0,322.3966667,68.63
28/05/2003,20.37,0,324.1425833,72.05
29/05/2003,24.68,0,307.44875,43.1
30/05/2003,20.41,7.3152,238.8079167,59.94
31/05/2003,16.82,0,186.90875,90.53
01/06/2003,17.81,3.556,193.8206667,72.6
02/06/2003,14.94,1.8796,304.3874167,73.46
03/06/2003,13.09,0.8636,205.1571667,83.12
04/06/2003,10.05,14.1478,111.85825,95.84
05/06/2003,10.94,0,192.21825,81.21
06/06/2003,9.8,12.3698,226.6104167,85.18
07/06/2003,10.34,0,319.5984167,69.78
08/06/2003,14.62,0,357.4824167,61.53
09/06/2003,17.01,1.651,200.039,65.54
10/06/2003,16.73,0.254,296.184,74.28
11/06/2003,18.65,0,232.4460833,57.56
12/06/2003,17.54,0,269.0385833,58.48
13/06/2003,15.84,0,238.28175,76.16
14/06/2003,17.97,0,275.7830833,68.39
15/06/2003,19.98,0,300.1063333,63.06
16/06/2003,20.2,0.5334,265.188,64.4
17/06/2003,16.74,4.572,262.2940833,81.92
18/06/2003,16.19,0.635,161.4375,87.93
19/06/2003,17.27,0,207.9554167,83.4
20/06/2003,16.8,0,232.25475,79.33
21/06/2003,19.45,0,352.723,53.03
22/06/2003,17.71,0,355.1864167,57.67
23/06/2003,17.74,0,186.263,66.53
24/06/2003,11.92,0,75.21791667,86.26
25/06/2003,12.52,0.508,247.968,73.66
26/06/2003,16.56,0,361.3808333,49.81
27/06/2003,20.32,0,347.62875,41.78
28/06/2003,20.24,1.1938,340.45375,52.01
29/06/2003,16.77,0,174.3764167,82.16
30/06/2003,21.03,0,338.66,63.07
01/07/2003,24.59,0,307.4965833,46.17
02/07/2003,26.5,0,347.62875,26.62
03/07/2003,27.09,0,323.8795,22.22
04/07/2003,27.13,0,363.2941667,20.21
05/07/2003,26.55,0,349.4703333,22.2
06/07/2003,25.3,0,265.4510833,27.06
07/07/2003,21.46,0,231.5850833,49.9
08/07/2003,25.79,0,355.4495,36.13
09/07/2003,22.87,0,364.8248333,37.31
10/07/2003,24.97,0,365.8293333,30.21
11/07/2003,23.92,0,311.969,42.42
12/07/2003,23.32,0,321.7748333,52.48
