@T,D1D2,,,,
descr,average observed soil water content at probe D1 D2 depths 30cm 60cm 90cm 150cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,04.10.2002,,,,
date_end,19.09.2012,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1583.5,,,
x,,513610.5,,,
y,,4494889.5,,,
,04.07.2003,0.346327016,0.387152273,0.309938126,0.259584642
,05.07.2003,0.346776728,0.388265141,0.310916448,0.260123049
,06.07.2003,0.34637625,0.389167115,0.31183835,0.260729761
,07.07.2003,0.345050401,0.389292979,0.312597313,0.26137635
,08.07.2003,0.343346876,0.388674805,0.31299562,0.262027746
,09.07.2003,0.343883914,0.388179795,0.313159118,0.262646909
,10.07.2003,0.34345394,0.388349006,0.313458066,0.263182501
,11.07.2003,0.342466654,0.388591986,0.313824096,0.263672247
,12.07.2003,0.340856224,0.388581908,0.314165947,0.264166225
,13.07.2003,0.338246848,0.388574441,0.314461453,0.264642941
,14.07.2003,0.333931772,0.388445247,0.314748927,0.265115284
,15.07.2003,0.329342797,0.388370154,0.315049179,0.26558014
,16.07.2003,0.323463723,0.387483834,0.315301333,0.266010687
,17.07.2003,0.318160508,0.38635161,0.315262765,0.266471677
,18.07.2003,0.314286196,0.385522509,0.315266805,0.266862719
,19.07.2003,0.310434457,0.384545743,0.315409841,0.267231174
,20.07.2003,0.307236439,0.382999118,0.315425764,0.267593191
,21.07.2003,0.302404772,0.380613267,0.315245527,0.267987507
,22.07.2003,0.299577302,0.377680766,0.31471151,0.26832553
,23.07.2003,0.297005504,0.374829259,0.314163118,0.268598569
,24.07.2003,0.293902132,0.371312587,0.313613118,0.268806381
,25.07.2003,0.291761642,0.367680456,0.313004428,0.269021036
,26.07.2003,0.289288051,0.364216141,0.312404843,0.26925379
,27.07.2003,0.28738561,0.360582517,0.311675709,0.269490669
,28.07.2003,0.285427469,0.357688486,0.310953519,0.269765254
,29.07.2003,0.282759514,0.355109921,0.310153937,0.270049678
,30.07.2003,0.279698932,0.351632322,0.308849821,0.270323949
,31.07.2003,0.277728467,0.348192792,0.307074266,0.270532323
,01.08.2003,0.275048174,0.3451892,0.30524035,0.270693615
,02.08.2003,0.273283708,0.342112823,0.302840455,0.270794501
,03.08.2003,0.272923873,0.339815081,0.300064318,0.270813627
,04.08.2003,0.271200194,0.338112562,0.297552442,0.270812724
,05.08.2003,0.269772721,0.33594148,0.294211911,0.270798615
,06.08.2003,0.268894888,0.334298739,0.291059094,0.270760074
,07.08.2003,0.26776904,0.333265308,0.288840296,0.270730396
,08.08.2003,0.264994218,0.331878979,0.287355494,0.270744486
,09.08.2003,0.263588399,0.330040592,0.284950664,0.270764675
,10.08.2003,0.262108188,0.328384503,0.282308872,0.270694832
,11.08.2003,0.261045723,0.326960338,0.27986647,0.270568723
,12.08.2003,0.259461166,0.325643342,0.277838907,0.270444316
,13.08.2003,0.257603972,0.324129138,0.275856053,0.270267068
,14.08.2003,0.255222588,0.322486132,0.273959969,0.270063794
,15.08.2003,0.253089006,0.320572362,0.272101454,0.269811391
,16.08.2003,0.25122783,0.318699483,0.270168621,0.269477296
,17.08.2003,0.24965678,0.317194171,0.268348339,0.269035751
