@T,B1B2B3,,,,
descr,average observed soil water content at probe B1 B2 B3 depths 30cm 60cm 90cm 150cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,03.10.2002,,,,
date_end,19.09.2012,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1568.666667,,,
x,,513721.3333,,,
y,,4495332.667,,,
,02.09.2011,0.2534154,0.307113732,0.248299954,0.306650693
,03.09.2011,0.252581741,0.306906503,0.248648726,0.306560039
,04.09.2011,0.250744914,0.305826006,0.24880554,0.306502057
,05.09.2011,0.249611199,0.304249946,0.248580311,0.306442088
,06.09.2011,0.249036047,0.303156606,0.248335518,0.306371249
,07.09.2011,0.246894247,0.301607924,0.248073811,0.306219311
,08.09.2011,0.24475272,0.29924938,0.247568327,0.306052827
,09.09.2011,0.244858923,0.297599906,0.246886508,0.305788136
,10.09.2011,0.244961698,0.2968408,0.24642661,0.30539804
,11.09.2011,0.24494529,0.296371638,0.246220154,0.30507437
,12.09.2011,0.245793384,0.29626719,0.246097735,0.3048906
,13.09.2011,0.246508236,0.296818506,0.246246587,0.304419002
,14.09.2011,0.245735546,0.296967874,0.246557113,0.30416985
,15.09.2011,0.243319368,0.29497342,0.246329495,0.303970743
,16.09.2011,0.244443061,0.291444717,0.245100197,0.30356344
,17.09.2011,0.24544138,0.289620907,0.243951566,0.303215568
,18.09.2011,0.243728748,0.287936955,0.24310402,0.30266803
,19.09.2011,0.244066545,0.286641886,0.24225812,0.302459561
,20.09.2011,0.245994905,0.286611829,0.241804695,0.302333864
,21.09.2011,0.245073913,0.285952918,0.241548777,0.302061704
,22.09.2011,0.245081803,0.285066129,0.241130433,0.302150355
,23.09.2011,0.246826691,0.284393268,0.240613625,0.30212863
,24.09.2011,0.252109507,0.285071101,0.240348686,0.301610956
,25.09.2011,0.257266169,0.286355234,0.240633741,0.301261313
,26.09.2011,0.261663397,0.287627013,0.241167435,0.300944659
,27.09.2011,0.262324552,0.288628576,0.241777513,0.300666991
,28.09.2011,0.26380489,0.289496598,0.242341245,0.300641884
,29.09.2011,0.263191667,0.290207254,0.242942321,0.300683831
,30.09.2011,0.259599407,0.289639671,0.243297167,0.300723718
,01.10.2011,0.257955289,0.28864634,0.243177815,0.300725097
,02.10.2011,0.257616083,0.288668421,0.243076461,0.30068609
,03.10.2011,0.260477065,0.289293801,0.243295319,0.300586869
,04.10.2011,0.260782413,0.289601962,0.243689087,0.300598305
