@T,C1C2C3,,,,
descr,average observed soil water content at probe C1 C2 C3 depths 30cm 60cm 90cm 120cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,22.10.2002,,,,
date_end,19.09.2012,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1584.333333,,,
x,,513547,,,
y,,4494896.333,,,
,02.09.2003,0.316319336,0.289493706,0.238283811,0.201142552
,03.09.2003,0.31844344,0.289740397,0.237508555,0.200666662
,04.09.2003,0.318714693,0.289928136,0.237153407,0.200435246
,05.09.2003,0.320506553,0.290312563,0.236839567,0.200331373
,06.09.2003,0.321612276,0.291246226,0.236826558,0.200355396
,07.09.2003,0.321061076,0.291620312,0.236972464,0.200546691
,08.09.2003,0.319066905,0.290944548,0.236888218,0.200765968
,09.09.2003,0.318737212,0.290254402,0.236394057,0.200819211
,10.09.2003,0.317979338,0.289614444,0.235926569,0.200737284
,11.09.2003,0.316070243,0.288704697,0.235415519,0.20059622
,12.09.2003,0.31536294,0.287470129,0.234672106,0.200337061
,13.09.2003,0.31545119,0.28701975,0.233966428,0.19999556
,14.09.2003,0.313733635,0.286176715,0.233430223,0.199688146
,15.09.2003,0.312939411,0.284994738,0.232733413,0.199343515
,16.09.2003,0.314157801,0.284694947,0.232014831,0.198918539
,17.09.2003,0.315023823,0.285087399,0.231699972,0.198606809
,18.09.2003,0.311361816,0.284414432,0.231603673,0.198473737
,19.09.2003,0.309200555,0.282363139,0.230855733,0.198239865
,20.09.2003,0.309342319,0.281138836,0.229788316,0.197753334
,21.09.2003,0.309709645,0.2806511,0.229002284,0.197209969
,22.09.2003,0.309818825,0.280558782,0.228475225,0.196777532
,23.09.2003,0.309824766,0.280222936,0.228076196,0.196463343
,24.09.2003,0.310814163,0.280394702,0.227791347,0.196229604
,25.09.2003,0.310351312,0.280526981,0.227736388,0.196095508
,26.09.2003,0.311015582,0.280488832,0.227613268,0.196041955
,27.09.2003,0.310800087,0.280674765,0.227610963,0.196038779
,28.09.2003,0.310100464,0.28041849,0.227556323,0.196117599
,29.09.2003,0.308848708,0.279796081,0.227304376,0.196159548
