@T,climate,,,,,,,
name,rhum.csv,,,,,,,
descr,relative humidity,,,,,,,
,,,,,,,,
missing_val,-9999,,,,,,,
date_start,01.01.1980,,,,,,,
date_end,30.04.2015,,,,,,,
date_format,dd.MM.yyyy,,,,,,,
,,,,,,,,
unit,%,,,,,,,
tres,d,,,,,,,
,,,,,,,,
@H,date,rehum[0],rehum[2],rehum[3],rehum[4],rhum[5],rhum[6],rhum[7]
name,-,IASF901,Cedar Rapids-A131329,WATERLOO MUNICIPAL AIRPORT IA US,MARSHALLTOWN MUNICIPAL AIRPORT IA US,Ames-Airport,ESTHERVILLE MUNICIPAL AIRPORT IA US,MASON CITY MUNICIPAL AIRPORT IA US
ID,-,1,3,4,5,6,7,8
elevation,-,347.81,240,268,296.9,280,401.4,367
,05.08.1980,-9999,-9999,65.68,-9999,-9999,-9999,65.06
,06.08.1980,-9999,-9999,70.66,-9999,-9999,-9999,74.96
,07.08.1980,-9999,-9999,65.15,-9999,-9999,-9999,74.99
,08.08.1980,-9999,-9999,72.93,-9999,-9999,-9999,77.26
,09.08.1980,-9999,-9999,88.17,-9999,-9999,-9999,89.4
,10.08.1980,-9999,-9999,80.46,-9999,-9999,-9999,82.79
,11.08.1980,-9999,-9999,79.64,-9999,-9999,-9999,81.59
,12.08.1980,-9999,-9999,73.28,-9999,-9999,-9999,75.93
,13.08.1980,-9999,-9999,79.69,-9999,-9999,-9999,82.84
,14.08.1980,-9999,-9999,79.34,-9999,-9999,-9999,80
,15.08.1980,-9999,-9999,79.36,-9999,-9999,-9999,80.64
,16.08.1980,-9999,-9999,85.55,-9999,-9999,-9999,85.85
,17.08.1980,-9999,-9999,80.3,-9999,-9999,-9999,84.66
,18.08.1980,-9999,-9999,73.78,-9999,-9999,-9999,83.54
,19.08.1980,-9999,-9999,69.89,-9999,-9999,-9999,77.17
,20.08.1980,-9999,-9999,69.49,-9999,-9999,-9999,76.86
,21.08.1980,-9999,-9999,66.98,-9999,-9999,-9999,72.37
,22.08.1980,-9999,-9999,64.94,-9999,-9999,-9999,74.02
,23.08.1980,-9999,-9999,64.93,-9999,-9999,-9999,74.31
,24.08.1980,-9999,-9999,62.67,-9999,-9999,-9999,71.65
,25.08.1980,-9999,-9999,61.4,-9999,-9999,-9999,66.08
,26.08.1980,-9999,-9999,71.71,-9999,-9999,-9999,87.57
,27.08.1980,-9999,-9999,81.88,-9999,-9999,-9999,92.3
,28.08.1980,-9999,-9999,83.08,-9999,-9999,-9999,88.1
,29.08.1980,-9999,-9999,74.59,-9999,-9999,-9999,80.45
,30.08.1980,-9999,-9999,82.15,-9999,-9999,-9999,81.68
,31.08.1980,-9999,-9999,85.53,-9999,-9999,-9999,85.74
,01.09.1980,-9999,-9999,83.89,-9999,-9999,-9999,80.31
,02.09.1980,-9999,-9999,74.06,-9999,-9999,-9999,76.08
,03.09.1980,-9999,-9999,70.97,-9999,-9999,-9999,73.25
,04.09.1980,-9999,-9999,77.38,-9999,-9999,-9999,68.77
,05.09.1980,-9999,-9999,75.02,-9999,-9999,-9999,67.92
,06.09.1980,-9999,-9999,84.35,-9999,-9999,-9999,82.92
,07.09.1980,-9999,-9999,76.64,-9999,-9999,-9999,76.43
,08.09.1980,-9999,-9999,75.62,-9999,-9999,-9999,74.22
,09.09.1980,-9999,-9999,69.51,-9999,-9999,-9999,67.45
,10.09.1980,-9999,-9999,71.51,-9999,-9999,-9999,64.73
,11.09.1980,-9999,-9999,68.87,-9999,-9999,-9999,68.96
,12.09.1980,-9999,-9999,77.1,-9999,-9999,-9999,79.49
,13.09.1980,-9999,-9999,76.56,-9999,-9999,-9999,80.96
,14.09.1980,-9999,-9999,78.13,-9999,-9999,-9999,83.8
,15.09.1980,-9999,-9999,76.86,-9999,-9999,-9999,78.69
,16.09.1980,-9999,-9999,73.9,-9999,-9999,-9999,71.73
,17.09.1980,-9999,-9999,63.09,-9999,-9999,-9999,66.33
,18.09.1980,-9999,-9999,64.56,-9999,-9999,-9999,68.64
,19.09.1980,-9999,-9999,70.06,-9999,-9999,-9999,77.51
,20.09.1980,-9999,-9999,71.56,-9999,-9999,-9999,85.25
,21.09.1980,-9999,-9999,70.06,-9999,-9999,-9999,77.01
,22.09.1980,-9999,-9999,74.24,-9999,-9999,-9999,76.73
,23.09.1980,-9999,-9999,64.89,-9999,-9999,-9999,65.39
