@T,soils,,,,,,,,,,,
name,soils_hor.csv,,,,,,,,,,,
descr,soil input parameters by horizon,,,,,,,,,,,
,,,,,,,,,,,,
@H,SID,depth,aircapacity,fieldcapacity,deadcapacity,kf,bulk_density,corg,root,kvalue,A_skel,p_content
min,1,0,0,0,0,0,0,0,0,0,0,0
max,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1,100,500
unit,n/a,cm,Vol.%,Vol.%,Vol.%,cm/d,g/cm,%,n/a,n/a,%,mg/100g_soil
,8002,51,0.39,0.182,0.097,51.48,1.62,0.29,1,0.2,6,10
,8003,81,0.422,0.054,0.018,291.264,1.53,0.29,1,0.15,6,10
,8101,25,0.626,0.377,0.188,92.256,0.99,8.72,1,0.32,0.01,10
,8102,51,0.564,0.4,0.244,25.776,1.15,4.94,1,0.32,0.01,10
,8103,38,0.514,0.398,0.24,9.624,1.29,2.03,1,0.32,2,10
,8104,38,0.456,0.338,0.174,10.896,1.44,1.16,1,0.28,3,10
,8201,102,0.516,0.365,0.198,21.768,1.28,3.49,1,0.24,0.01,10
,8202,50,0.407,0.248,0.119,25.752,1.57,0.58,1,0.28,3,10
,8301,20,0.471,0.313,0.172,24.144,1.4,2.91,1,0.24,2,10
,8302,21,0.471,0.313,0.172,24.144,1.4,2.91,1,0.24,2,10
,8303,66,0.438,0.294,0.159,18.624,1.49,1.45,1,0.32,2,10
,8304,45,0.411,0.283,0.153,13.176,1.56,0.29,1,0.32,3,10
,8401,18,0.563,0.399,0.239,26.256,1.16,4.77,1,0.32,0.01,10
,8402,53,0.565,0.399,0.239,27.024,1.15,4.94,1,0.32,0.01,10
,8403,38,0.514,0.398,0.24,9.624,1.29,2.03,1,0.32,2,10
,8404,43,0.456,0.338,0.174,10.896,1.44,1.16,1,0.28,3,10
,8501,74,0.468,0.29,0.15,34.944,1.41,2.91,1,0.24,0.01,10
,8502,30,0.446,0.316,0.176,14.016,1.47,1.45,1,0.28,0.01,10
,8503,48,0.391,0.16,0.079,72.648,1.61,0.29,1,0.24,3,10
,8601,20,0.4,0.2,0.1,24,1.5,1,1,0.24,2,10
,8701,20,0.4,0.2,0.1,24,1.5,1,1,0.24,2,10
,8801,36,0.52,0.364,0.2,23.04,1.27,3.78,1,0.28,2,10
,8802,48,0.453,0.326,0.188,12.336,1.45,1.74,1,0.32,2,10
