@T,obs,,,,,
descr,observed runoff at Drake,,,,,
unit,m3/s  //  mg/l  //  mg/l ,,,,,
,,,,,,
missing_val,-9999,,,,,
date_start,09.01.2001,,,,,
date_end,31.12.2013,,,,,
date_format,dd.MM.yyyy,,,,,
,,,,,,
@H,date,orun[1],no3_n[1],sedim[1],no3_n[2],no3_n[3]
name,-,SF450,SF450,SF450,SF450,SF450
ID,-,1,2,3,4,5
elevation,-,289,289,289,289,289
,14.01.2009,3.766140598,7.75,-9999,-9999,-9999
,15.01.2009,3.652873211,7.56,-9999,-9999,-9999
,16.01.2009,3.596239518,7.36,-9999,-9999,-9999
,17.01.2009,3.737823751,7.17,-9999,-9999,-9999
,18.01.2009,3.936041677,6.97,-9999,-9999,-9999
,19.01.2009,3.907724831,6.78,-9999,-9999,-9999
,20.01.2009,3.794457444,6.59,-9999,-9999,-9999
,21.01.2009,3.681190058,6.39,-9999,-9999,-9999
,22.01.2009,3.596239518,6.2,-9999,-9999,-9999
,23.01.2009,3.511288978,6,-9999,-9999,-9999
,24.01.2009,3.199803666,5.81,-9999,-9999,-9999
,25.01.2009,3.114853126,5.62,-9999,-9999,-9999
,26.01.2009,3.086536279,5.42,-9999,-9999,-9999
,27.01.2009,3.143169973,5.23,-9999,-9999,-9999
,28.01.2009,3.228120512,5.03,-9999,-9999,-9999
,29.01.2009,3.199803666,4.84,-9999,-9999,-9999
,30.01.2009,3.143169973,4.64,-9999,-9999,-9999
,31.01.2009,3.143169973,4.45,-9999,-9999,-9999
,01.02.2009,3.171486819,4.26,-9999,-9999,-9999
,02.02.2009,3.086536279,4.06,-9999,-9999,-9999
,03.02.2009,2.9166352,3.87,-9999,-9999,-9999
,04.02.2009,2.520199347,3.67,-9999,-9999,-9999
,05.02.2009,3.454655285,3.48,-9999,-9999,-9999
,06.02.2009,10.64713432,3.28,-9999,-9999,-9999
,07.02.2009,11.35505549,3.09,-9999,-9999,-9999
,08.02.2009,9.656044691,2.9,-9999,-9999,-9999
,09.02.2009,7.815449662,2.7,-9999,-9999,-9999
,10.02.2009,24.06931961,2.54,-9999,2.5,-9999
,11.02.2009,30.0158574,2.61,-9999,-9999,-9999
,12.02.2009,17.24495958,2.72,-9999,-9999,-9999
,13.02.2009,12.9407989,2.84,-9999,-9999,-9999
,14.02.2009,9.231291992,2.95,-9999,-9999,-9999
,15.02.2009,7.16416219,3.06,-9999,-9999,-9999
,16.02.2009,6.767726337,3.18,-9999,-9999,-9999
,17.02.2009,6.031488326,3.29,-9999,-9999,-9999
,18.02.2009,5.691686167,3.4,-9999,-9999,-9999
,19.02.2009,4.870497615,3.52,-9999,-9999,-9999
,20.02.2009,5.040398695,3.63,-9999,-9999,-9999
,21.02.2009,4.983765002,3.74,-9999,-9999,-9999
,22.02.2009,4.304160683,3.86,-9999,-9999,-9999
